f_cameraSpotX,f_cameraSpotY,sz_zSpots
-518.301025,110.312782,189.031250+1+9.99+0
-518.301025,91.036186,189.0312500
-518.301025,13.929794,19.6969620
-518.301025,-5.346806,18.8087430
-518.301025,-24.623404,17.9205230
-518.301025,-43.900002,17.0323030
-518.301025,-63.176598,16.1440830
-518.301025,-82.453201,15.2558630
-518.301025,-101.729797,14.3676430
-518.301025,-121.006393,13.4794240
-518.301025,-140.282990,12.5912040
-518.301025,-159.559601,11.7029830
-518.301025,-178.836182,10.8147640
-518.301025,-198.112793,9.9265430
-518.301025,-217.389374,9.0383240
-518.301025,-236.665985,10.2790180
-498.559326,881.376709,28.8614650
-498.559326,823.546875,-25.5511550
-498.559326,804.270264,-25.9419690
-498.559326,784.993713,-26.0475650
-498.559326,765.717102,-26.7650680
-498.559326,746.440491,-26.8330310
-498.559326,727.163879,-26.9009930
-498.559326,707.887268,-26.9689560
-498.559326,688.610718,-27.0369190
-498.559326,630.780884,-24.0874020
-498.559326,592.227722,81.0312580
-498.559326,572.951111,45.0312500
-498.559326,553.674500,45.0312500
-498.559326,534.397888,45.0312500
-498.559326,515.121338,45.0312500
-498.559326,495.844757,45.0312500
-498.559326,476.568146,45.0312500
-498.559326,457.291565,45.0312500
-498.559326,438.014954,45.0312500
-498.559326,148.865967,189.0312500
-498.559326,129.589386,189.0312500
-498.559326,110.312782,189.0312500
-498.559326,91.036186,189.0312500
-498.559326,13.929794,19.8628960
-498.559326,-5.346806,16.1639370
-498.559326,-24.623404,12.4649750
-498.559326,-43.900002,16.9802550
-498.559326,-63.176598,15.8418880
-498.559326,-82.453201,14.7035200
-498.559326,-101.729797,13.5651510
-498.559326,-121.006393,12.4267850
-498.559326,-140.282990,11.2884160
-498.559326,-159.559601,10.2540600
-498.559326,-178.836182,10.5184250
-498.559326,-198.112793,10.7827890
-498.559326,-217.389374,11.8581530
-498.559326,-236.665985,13.3380270
-478.817627,881.376709,29.0037380
-478.817627,823.546875,-25.6001110
-478.817627,804.270264,-25.9909250
-478.817627,784.993713,-26.3467730
-478.817627,765.717102,-26.6677360
-478.817627,746.440491,-26.7356990
-478.817627,727.163879,-26.8036610
-478.817627,707.887268,-26.8716240
-478.817627,688.610718,-26.9395850
-478.817627,630.780884,15.3959960
-478.817627,592.227722,81.0312500
-478.817627,572.951111,45.0312500
-478.817627,553.674500,45.0312500
-478.817627,534.397888,45.0312500
-478.817627,515.121338,45.0312500
-478.817627,495.844757,45.0312500
-478.817627,476.568146,45.0312500
-478.817627,457.291565,45.0312500
-478.817627,438.014954,45.0312500
-478.817627,148.865967,189.0312500
-478.817627,129.589386,189.0312500
-478.817627,110.312782,189.0312500
-478.817627,91.036186,189.0312500
-478.817627,13.929794,21.9834160
-478.817627,-5.346806,18.2844560
-478.817627,-24.623404,14.5854960
-478.817627,-43.900002,17.7489550
-478.817627,-63.176598,16.6105860
-478.817627,-82.453201,15.4722180
-478.817627,-101.729797,14.3338500
-478.817627,-121.006393,13.1954820
-478.817627,-140.282990,12.0571140
-478.817627,-159.559601,10.3356230
-478.817627,-178.836182,10.5999870
-478.817627,-198.112793,10.8643510
-478.817627,-217.389374,12.1789590
-478.817627,-236.665985,13.6588330
-459.075928,881.376709,-5.9146730
-459.075928,842.823486,-25.7419910
-459.075928,823.546875,-25.5824660
-459.075928,804.270264,-25.4229410
-459.075928,784.993713,-25.2634160
-459.075928,765.717102,-26.5103020
-459.075928,746.440491,-26.6447770
-459.075928,727.163879,-26.7792530
-459.075928,707.887268,-26.9137270
-459.075928,688.610718,-25.5348510
-459.075928,669.334106,-3.6529970
-459.075928,650.057495,22.9518970
-459.075928,630.780884,23.0312500
-459.075928,611.504333,23.0312500
-459.075928,592.227722,81.0312500
-459.075928,572.951111,45.0312500
-459.075928,553.674500,45.0312500
-459.075928,534.397888,45.0312500
-459.075928,515.121338,45.0312500
-459.075928,495.844757,45.0312500
-459.075928,476.568146,45.0312500
-459.075928,457.291565,45.0312500
-459.075928,438.014954,45.0312500
-459.075928,264.525574,189.0312500
-459.075928,245.248962,189.0312500
-459.075928,225.972382,189.0312500
-459.075928,206.695770,189.0312500
-459.075928,187.419189,189.0312500
-459.075928,168.142578,189.0312500
-459.075928,148.865967,189.0312500
-459.075928,129.589386,189.0312500
-459.075928,110.312782,189.0312500
-459.075928,91.036186,189.0312500
-459.075928,-43.900002,18.5176510
-459.075928,-63.176598,17.3792840
-459.075928,-82.453201,16.2409150
-459.075928,-101.729797,15.1025490
-459.075928,-121.006393,13.9641800
-459.075928,-140.282990,12.8258120
-459.075928,-159.559601,12.4509330
-459.075928,-178.836182,11.7557330
-459.075928,-198.112793,11.0605340
-459.075928,-217.389374,10.3653340
-459.075928,-236.665985,12.2273710
-439.334229,919.929871,-24.8227060
-439.334229,900.653259,-24.8686030
-439.334229,881.376709,-24.9144990
-439.334229,862.100098,-24.9603960
-439.334229,842.823486,-23.9623810
-439.334229,823.546875,-23.8028550
-439.334229,804.270264,-23.6433300
-439.334229,784.993713,-23.4838050
-439.334229,765.717102,-26.5103020
-439.334229,746.440491,-26.6447770
-439.334229,727.163879,-26.7792530
-439.334229,707.887268,-26.9137270
